Pais,source,year,availability,person
PRY,IPUMS/external,1963,NA,
PRY,IPUMS/external,1964,NA,
PRY,IPUMS/external,1970,NA,
PRY,IPUMS/external,1971,NA,
PRY,IPUMS/external,1972,1,
PRY,IPUMS/external,1973,NA,
PRY,IPUMS/external,1974,NA,
PRY,IPUMS/external,1975,NA,
PRY,IPUMS/external,1976,NA,
PRY,IPUMS/external,1980,NA,
PRY,IPUMS/external,1981,NA,
PRY,IPUMS/external,1982,1,
PRY,IPUMS/external,1984,NA,
PRY,IPUMS/external,1985,NA,
PRY,IPUMS/external,1988,NA,
PRY,IPUMS/external,1990,NA,
PRY,IPUMS/external,1991,NA,
PRY,IPUMS/external,1992,1,
PRY,IPUMS/external,1993,NA,
PRY,IPUMS/external,1994,NA,
PRY,IPUMS/external,1995,NA,
PRY,IPUMS/external,1996,NA,
PRY,IPUMS/external,2000,NA,
PRY,IPUMS/external,2001,NA,
PRY,IPUMS/external,2002,1,David
PRY,IPUMS/external,2003,NA,
PRY,IPUMS/external,2004,NA,
PRY,IPUMS/external,2005,NA,
PRY,IPUMS/external,2006,NA,
